lat_coords,lng_coords,city,country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
-13.661965964627612,157.31227988114335,honiara,sb,81.78,88,64,3.18,-9.43,159.96
46.38382453006906,-14.312090462240775,muros,es,46.47,100,75,9.17,42.77,-9.06
57.06947471852632,96.50522405919082,aban,ru,16.85,84,24,9.78,56.67,96.06
-48.3783586400014,-78.7245294663711,coihaique,cl,71.37,33,0,6.93,-45.58,-72.07
49.249490340142614,55.36345057189391,shubarkuduk,kz,4.2,87,48,2.95,49.15,56.49
56.10553383468795,136.67778782930446,ayan,ru,,,,,,
31.916952655015123,99.41559996044867,yaan,cn,,,,,,
58.502420727622734,120.53525322936218,khani,ru,,,,,,
40.05558453409975,102.86535985091791,jinchang,cn,12.03,85,80,2.62,38.52,102.19
10.533609620976705,-9.294232323328998,kankan,gn,64.32,39,0,6.98,10.38,-9.3
63.57781285275806,94.89675177481575,baykit,ru,11.72,71,44,9.78,61.68,96.39
39.72565863709727,49.44698460454953,qobustan,az,28.4,100,40,2.24,40.08,49.41
25.303533950768156,-0.6613783674743274,adrar,dz,48.2,29,0,5.82,27.87,-0.29
5.644767914905643,68.01630092190251,ugoofaaru,mv,79.35,100,12,4.97,5.67,73
61.1090690299751,172.69433195751293,anadyr,ru,-7.61,76,0,11.18,64.73,177.51
64.6854459690203,-3.0887740959747134,klaksvik,fo,41,86,56,16.11,62.23,-6.59
21.623626273911654,47.02374700090181,riyadh,sa,42.8,56,0,2.39,24.63,46.72
52.43729464746605,-4.6971326757668805,aberystwyth,gb,41.24,100,68,3.06,52.41,-4.08
34.67601069056737,14.829898301490573,marsaxlokk,mt,50,87,40,4.7,35.84,14.54
-15.241743597291688,144.27124100102588,mareeba,au,78.8,78,90,10.29,-16.99,145.42
-2.702544276074093,16.28111508843216,bolobo,cd,73.05,97,48,2.39,-2.17,16.23
80.69953645809076,32.1820802188127,berlevag,no,17.07,100,44,10.45,70.86,29.09
21.316062646895404,-90.05169893771635,hunucma,mx,84.2,51,40,11.41,21.02,-89.88
36.74259902857192,-88.0949650966615,murray,us,37.24,68,90,8.05,40.67,-111.89
16.512360947126112,88.89905862014115,paradwip,in,,,,,,
15.730060913024701,-55.5102646918065,bathsheba,bb,77,73,40,11.41,13.22,-59.52
44.452234330046565,115.72625764748324,baruun-urt,mn,-3.14,67,0,14.14,46.68,113.28
20.819333390029158,-94.75747333676145,emilio carranza,mx,63.15,77,64,18.5,19.97,-96.61
54.20195857320368,23.465568043272754,lazdijai,lt,23.28,88,32,12.57,54.23,23.51
-6.530201343144412,29.674328688049542,moba,cd,67.11,100,92,6.53,-7.04,29.77
59.57699464002087,-126.1914715760003,fort nelson,ca,-2.21,77,75,2.24,58.81,-122.69
26.81165464932657,-150.67135591094166,kahului,us,77.77,62,40,20.8,20.89,-156.47
-13.614533510549691,16.23850504542196,huambo,ao,59.15,81,76,2.73,-12.78,15.73
31.521435166358415,86.2549284450443,kathmandu,np,41,93,20,3.36,27.71,85.32
8.486530674912416,56.213654068136805,bandarbeyla,so,75.8,100,92,14.03,9.49,50.81
61.748975108227,82.73899236370647,kargasok,ru,18.6,84,56,5.08,59.06,80.87
-1.307718557944213,-177.46849038076033,vaitupu,wf,,,,,,
-10.684702228645648,154.59056717495167,gizo,sb,82.41,100,68,12.68,-8.1,156.84
-4.295730352866585,-31.91422635772392,natal,br,82.4,78,20,9.17,-5.81,-35.21
-20.700959942463996,-90.53781452963858,pisco,pe,71.6,30,0,13.87,-13.71,-76.2
41.66561714503615,-117.44385122543284,winnemucca,us,55.04,54,20,9.17,40.97,-117.74
49.056863041970075,2.307344294363986,domont,fr,35.15,93,92,4.7,49.03,2.32
44.86357474705369,-1.493369789257116,arcachon,fr,41.14,93,75,1.12,44.65,-1.18
52.04354893279927,150.68807812811684,vostok,ru,-4.8,76,48,2.62,46.45,135.83
8.54996679170604,83.01507270503691,batticaloa,lk,75.39,100,64,9.55,7.71,81.69
-3.5533792634994796,-85.01038805544222,el alto,pe,,,,,,
-3.5097591797802608,43.86335346787405,bur gabo,so,,,,,,
20.77361118793256,49.026151473948545,abu samrah,qa,,,,,,
-28.167251120762003,-50.514492431383474,lages,br,69.77,84,76,7.54,-27.82,-50.33
-54.97474940371078,160.60473885774866,tuatapere,nz,56.09,100,92,25.77,-46.13,167.69
27.083467666418144,-106.7642563590525,santa barbara,mx,72.87,53,0,2.06,27.12,-108.72
14.004028711404345,105.20430382062074,det udom,th,66.2,93,0,3.36,14.9,105.08
8.916011791371261,80.86203730322597,mullaitivu,lk,,,,,,
46.59195057401925,-114.02097539161828,orchard homes,us,35.96,81,75,6.2,46.86,-114.05
-42.29762429346192,169.94300908801546,hokitika,nz,59.19,94,92,17.27,-42.72,170.96
5.069726126570586,85.85065951903579,kalmunai,lk,71.16,96,56,9.55,7.42,81.82
17.06470856864226,121.22380574279885,bocos,ph,64.86,95,88,2.51,16.93,121.08
-15.22421596429706,50.69629856889091,antalaha,mg,75.66,100,92,5.64,-14.9,50.28
11.55146271469033,-59.790251685003255,scarborough,tt,78.8,69,20,6.93,11.18,-60.73
19.09239108146447,102.94892125841642,phonhong,la,66.2,100,20,2.24,18.5,102.42
-15.530748940449598,23.03980527950597,mongu,zm,68.91,93,56,3.06,-15.27,23.14
50.37531320718739,-80.21609702799469,moose factory,ca,-22.01,74,1,2.51,51.26,-80.61
0.40929769551753736,-49.137685282311594,tucuma,br,,,,,,
3.413538824185366,63.1016328993347,kudahuvadhoo,mv,81.15,100,56,11.56,2.67,72.89
45.02856696472864,-73.13003985012455,swanton,us,20.34,77,90,18.34,41.59,-83.89
-35.72372690565656,144.87287785367022,deniliquin,au,76.97,47,32,4.74,-35.53,144.96
23.147899537624113,-10.900202783051014,atar,mr,50.55,45,0,7.09,20.52,-13.05
-26.247766839076604,130.7703140831519,yulara,au,84.2,30,48,12.75,-25.24,130.99
52.853025181792276,30.390843072004174,zlobin,by,,,,,,
44.774704955370765,123.70023995950464,qianan,cn,-2.42,73,0,10,44.99,124.06
62.27976450138874,23.1287816624841,seinajoki,fi,,,,,,
66.57037912271915,147.48260806453732,belaya gora,ru,-49.49,0,12,2.95,68.54,146.19
60.263748263749136,-15.084024169775006,hofn,is,39.12,100,8,23.87,64.25,-15.21
31.847811296292747,-90.53594863390566,brookhaven,us,37.04,78,90,17.22,40.78,-72.92
13.35651925352903,-18.761727841780527,dakar,sn,66.27,72,8,13.87,14.69,-17.45
61.730730419648125,156.8693205669756,omsukchan,ru,-30.9,47,76,3.51,62.53,155.8
-22.36049549679626,-57.94038988109101,san lazaro,py,,,,,,
-29.94394182970732,-57.70045262052673,bella union,uy,71.12,76,56,14.81,-30.28,-57.6
-41.587281060453954,174.7678394890284,wellington,nz,75.2,29,0,12.75,-41.29,174.78
